tax_yr,period,n_parcels,median_land,median_imps,median_total,mean_land,mean_imps,mean_total,p25_land,p75_land,p25_imps,p75_imps,p25_total,p75_total
2019,Actual,159854,270000,328563,567000,285562,378449,664011,1,406000,285000,406000,328564,794000
2020,Actual,159854,270000,330660,571000,291676,380627,672304,1,421000,285000,406000,330661,804000
2021,Actual,159854,272000,312663,565000,292740,360484,653223,1,426000,270000,389000,312664,784000
2022,Actual,159854,319000,341738,642000,340299,392143,732442,1,506000,291000,422000,341739,886000
2023,Actual,159854,356000,414478,738000,394220,471052,865271,1,578000,346000,497000,414479,1035000
2024,Actual,159854,407000,305270,686000,419236,353105,772341,1,616000,240000,386000,305271,952000
2025,Actual,159854,444000,329663,740000,449812,386690,836502,1,663000,267000,420000,329664,1031000
2026,Actual,159854,466000,353972,768000,466176,413341,879517,1,687000,283000,445000,353973,1085000
2027,Forecast,159854,495890,363217,807014,495118,425275,920393,1,728620,290392,457649,363219,1139231
2028,Forecast,159854,525703,371955,846466,525777,436151,961928,1,773889,298406,469403,371957,1195087
2029,Forecast,159854,558517,380296,887648,559066,446241,1005307,1,823343,304046,480243,380298,1253605
2030,Forecast,159854,592485,391163,933500,594437,459517,1053954,1,875958,313792,493965,391164,1318517
2031,Forecast,159854,628988,401695,980952,632021,472240,1104261,2,931808,322164,507265,401696,1386145
